"Nucleon_Value","Match_Type","Source_Section","Source_ID","Source_Name","Source_Parameter","Target_Parameter","Target_Name","Target_ID","Target_Section"
850,"SAME_PARAM","Octet I",14,"{C, G}","Neutrons","Neutrons","{A, C}",15,"Octet I"
850,"SAME_PARAM","Octet I",14,"{C, G}","Neutrons","Neutrons","{A, T}",16,"Octet I"
850,"SAME_PARAM","Octet I",14,"{C, G}","Neutrons","Neutrons","{A, G}",17,"Octet I"
850,"SAME_PARAM","Octet I",14,"{C, G}","Neutrons","Neutrons","{C, T}",18,"Octet I"
850,"SAME_PARAM","Octet I",15,"{A, C}","Neutrons","Neutrons","{A, T}",16,"Octet I"
850,"SAME_PARAM","Octet I",15,"{A, C}","Neutrons","Neutrons","{A, G}",17,"Octet I"
850,"SAME_PARAM","Octet I",15,"{A, C}","Neutrons","Neutrons","{C, T}",18,"Octet I"
850,"SAME_PARAM","Octet I",16,"{A, T}","Neutrons","Neutrons","{A, G}",17,"Octet I"
850,"SAME_PARAM","Octet I",16,"{A, T}","Neutrons","Neutrons","{C, T}",18,"Octet I"
850,"SAME_PARAM","Octet I",17,"{A, G}","Neutrons","Neutrons","{C, T}",18,"Octet I"
925,"SAME_PARAM","Octet I",19,"{C}","Total_Nucleons","Total_Nucleons","{G}",20,"Octet I"
925,"SAME_PARAM","Octet I",19,"{C}","Total_Nucleons","Total_Nucleons","{T}",21,"Octet I"
925,"SAME_PARAM","Octet I",19,"{C}","Total_Nucleons","Total_Nucleons","{A}",22,"Octet I"
925,"SAME_PARAM","Octet I",20,"{G}","Total_Nucleons","Total_Nucleons","{T}",21,"Octet I"
925,"SAME_PARAM","Octet I",20,"{G}","Total_Nucleons","Total_Nucleons","{A}",22,"Octet I"
925,"SAME_PARAM","Octet I",21,"{T}","Total_Nucleons","Total_Nucleons","{A}",22,"Octet I"
926,"SAME_PARAM","Octet II",26,"{A, C}","Neutrons","Neutrons","{A, T}",27,"Octet II"
950,"SAME_PARAM","All code",8,"{C}","Neutrons","Neutrons","{T}",10,"All code"
963,"SAME_PARAM","Octet II",24,"{G, T}","Neutrons","Neutrons","{C, G}",25,"Octet II"
1000,"SAME_PARAM","Octet I",13,"{G, T}","Protons","Protons","{C, G}",14,"Octet I"
1000,"SAME_PARAM","Octet I",13,"{G, T}","Protons","Protons","{A, C}",15,"Octet I"
1000,"SAME_PARAM","Octet I",13,"{G, T}","Protons","Protons","{A, T}",16,"Octet I"
1000,"SAME_PARAM","Octet I",13,"{G, T}","Protons","Protons","{A, G}",17,"Octet I"
1000,"SAME_PARAM","Octet I",13,"{G, T}","Protons","Protons","{C, T}",18,"Octet I"
1000,"SAME_PARAM","Octet I",14,"{C, G}","Protons","Protons","{A, C}",15,"Octet I"
1000,"SAME_PARAM","Octet I",14,"{C, G}","Protons","Protons","{A, T}",16,"Octet I"
1000,"SAME_PARAM","Octet I",14,"{C, G}","Protons","Protons","{A, G}",17,"Octet I"
1000,"SAME_PARAM","Octet I",14,"{C, G}","Protons","Protons","{C, T}",18,"Octet I"
1000,"SAME_PARAM","Octet I",15,"{A, C}","Protons","Protons","{A, T}",16,"Octet I"
1000,"SAME_PARAM","Octet I",15,"{A, C}","Protons","Protons","{A, G}",17,"Octet I"
1000,"SAME_PARAM","Octet I",15,"{A, C}","Protons","Protons","{C, T}",18,"Octet I"
