Null_Model,Statistic,Tail,Observed,Null_Mean,Null_SD,Tail_Count,P_MC,CI_Low,CI_High,N_Trials,Seed,Observed_Positive_Count,All_Zero_Trials
relabel20,S2,>=,13,1.029906,1.2322626139079078,39,3.999996000004e-05,2.853109792119849e-05,5.331004651010948e-05,1000000,0,104,0
relabel20,S4sense,<=,4.818181818181818,9.149541303030317,0.8470502745167322,273,0.000273999726000274,0.0002424833807410754,0.0003073559658944106,1000000,0,104,0
relabel20,S4pos,<=,6.115384615384615,9.41951382960576,0.8027226025689582,1601,0.001601998398001602,0.0015245310842146162,0.0016812980595454362,1000000,0,104,0
fixed_atg_met19,S2,>=,13,1.046275,1.2362261737360816,25,2.5999974000026e-05,1.6934510389084692e-05,3.690674160265706e-05,1000000,0,104,0
fixed_atg_met19,S4sense,<=,4.818181818181818,9.138105500000254,0.843404160269634,267,0.000267999732000268,0.00023684046715954175,0.00030099892557327305,1000000,0,104,0
fixed_atg_met19,S4pos,<=,6.115384615384615,9.41100891877127,0.7993214929500974,1530,0.001530998469001531,0.0014552853228221741,0.0016085443664229353,1000000,0,104,0
